Wall time,Step,Value
1748240239.5294619,25,7.458976745605469
1748240287.4267175,50,6.478394508361816
1748240334.2086887,75,6.451263904571533
1748240380.5623565,100,6.274219512939453
1748240427.1663303,125,6.24509859085083
1748240473.4446597,150,6.1413373947143555
1748240520.196825,175,5.96601676940918
1748240565.584669,200,5.828545570373535
1748240611.5029693,225,5.884483337402344
1748240651.4229507,250,5.790801048278809
1748240698.2705543,275,5.561624526977539
1748240743.6973317,300,5.619212627410889
1748240783.967276,325,5.446574687957764
1748240830.055649,350,5.474030494689941
1748240869.859972,375,5.496028423309326
1748240909.9490619,400,5.375765800476074
1748240954.625194,425,5.365674018859863
1748240994.2874608,450,5.4645867347717285
1748241033.6670904,475,5.316379070281982
1748241078.5459242,500,5.307635307312012
1748241118.4814973,525,5.323047637939453
1748241158.1096573,550,5.335543155670166
1748241197.9669557,575,5.295160293579102
1748241243.186658,600,5.1948466300964355
1748241289.5662644,625,5.185630798339844
1748241335.8840783,650,5.143820762634277
1748241381.1674466,675,5.1395649909973145
1748241420.3948016,700,5.152951240539551
1748241459.5634608,725,5.101351737976074
1748241505.11644,750,5.129084587097168
1748241546.002038,775,5.160825252532959
1748241585.866237,800,5.078900337219238
1748241631.789847,825,5.056591987609863
1748241676.955176,850,5.08510684967041
1748241716.224663,875,5.090229034423828
1748241758.3515286,900,5.076920509338379
1748241800.4274023,925,5.591435432434082
1748241840.6528747,950,5.707430362701416
1748241880.4759111,975,5.493560791015625
1748241920.4939878,1000,5.391213893890381
1748241960.3375123,1025,5.283656597137451
1748242000.7077053,1050,5.278296947479248
1748242041.4359229,1075,5.219682216644287
1748242081.423746,1100,5.118993282318115
1748242122.6228287,1125,5.0947160720825195
1748242161.9817393,1150,5.037731647491455
1748242207.4956317,1175,5.20406436920166
1748242249.0588057,1200,5.183539867401123
1748242290.2959332,1225,5.140263557434082
1748242329.962109,1250,5.07948112487793
1748242370.5941708,1275,5.071531295776367
1748242410.587038,1300,5.041676998138428
1748242450.053423,1325,5.0138840675354
1748242494.957949,1350,5.003474712371826
1748242535.0790029,1375,5.0355916023254395
1748242574.4375615,1400,5.026150703430176
1748242613.7843359,1425,5.048376560211182
1748242653.2929847,1450,5.018815040588379
1748242693.253897,1475,4.985284328460693
1748242739.9946096,1500,4.9880757331848145
1748242780.1579697,1525,5.118535995483398
1748242819.9192057,1550,5.067981243133545
1748242859.2959652,1575,5.059336185455322
1748242898.667383,1600,4.984415054321289
1748242938.8992887,1625,4.953128337860107
1748242983.1817305,1650,4.959742069244385
1748243022.3842573,1675,4.942358016967773
1748243061.1858118,1700,4.944259166717529
1748243099.980254,1725,4.90620756149292
1748243144.3200953,1750,4.9147419929504395
1748243183.510912,1775,4.930132865905762
1748243222.5341773,1800,4.909719467163086
1748243261.8589082,1825,4.878570556640625
1748243306.920135,1850,4.915443420410156
1748243348.0799437,1875,5.016603946685791
